participant_id,plabel,item_pos,item_id,code,n_turns,rationale
P007,P03,4,pcp_und_fa_2,NO_INTERACTION,0,No turns were logged for this item.
P007,P03,5,pcp_und_fa_1,FULL_OUTSOURCING,1,Open-ended handover ('can u help me?') with no concept focus or candidate; assistant supplies the item's answer content.
P007,P03,6,pcp_eval_fa_10,FULL_OUTSOURCING,1,Open-ended handover ('can u help me?') of the item with no own reasoning shown.
P007,P03,7,pcp_rem_fa_2,NO_INTERACTION,0,No turns were logged for this item.
P007,P03,8,pcp_ana_fa_2,FULL_OUTSOURCING,1,'what is correct?' directly asks the assistant to state the correct answer.
P011,P04,1,pcp_ana_fa_2,FULL_OUTSOURCING,1,Direct request ('Please give me the correct answer') with no own candidate.
P011,P04,2,pcp_ana_fa_1,FULL_OUTSOURCING,1,Direct request ('Please give me the correct answer') with no own candidate.
P011,P04,3,pcp_eval_fa_11,NO_INTERACTION,0,No turns were logged for this item.
P011,P04,4,pcp_rem_fa_2,FULL_OUTSOURCING,1,Direct request ('Please give me the correct answer') with no own candidate.
P011,P04,5,pcp_rem_fa_1,FULL_OUTSOURCING,1,"Direct request ('Please give me the correct answer'); no decline-and-reason turn follows, though the submitted answer contradicts the assistant."
P011,P04,6,pcp_und_fa_2,FULL_OUTSOURCING,1,Direct request ('Please give me the correct answer') with no own candidate.
P011,P04,7,pcp_eval_fa_10,FULL_OUTSOURCING,1,Direct request ('Please give me the correct answer') with no own candidate.
P011,P04,8,pcp_und_fa_1,NO_INTERACTION,0,No turns were logged for this item.
P014,P05,1,pcp_eval_fa_10,FULL_OUTSOURCING,1,Reproduces the item's own question ('whats wrong with this chart') with no own reading offered.
P014,P05,2,pcp_eval_fa_11,FULL_OUTSOURCING,1,Reproduces the item's own question ('name one problem with this chart') verbatim.
P014,P05,3,pcp_und_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P014,P05,4,pcp_rem_fa_1,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P014,P05,5,pcp_ana_fa_1,FULL_OUTSOURCING,1,Forwards the item question verbatim; assistant selects the chart.
P014,P05,6,pcp_und_fa_1,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P014,P05,7,pcp_rem_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P014,P05,8,pcp_ana_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P019,P06,1,pcp_ana_fa_1,NO_INTERACTION,0,No turns were logged for this item.
P019,P06,2,pcp_eval_fa_11,FULL_OUTSOURCING,1,Close paraphrase of the item's evaluative question ('is anything wrong with this chart?') asking the assistant to produce the problem.
P019,P06,3,pcp_und_fa_2,NO_INTERACTION,0,No turns were logged for this item.
P019,P06,4,pcp_rem_fa_2,NO_INTERACTION,0,No turns were logged for this item.
P019,P06,5,pcp_eval_fa_10,FULL_OUTSOURCING,1,Paraphrase of the item's own question ('is anything wrong with this chart').
P019,P06,6,pcp_ana_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P019,P06,7,pcp_und_fa_1,NO_INTERACTION,0,No turns were logged for this item.
P019,P06,8,pcp_rem_fa_1,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P022,P07,1,pcp_rem_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P022,P07,2,pcp_eval_fa_10,FULL_OUTSOURCING,1,Forwards the item question verbatim (assistant requested the chart image; request still outsources the judgment).
P022,P07,3,pcp_rem_fa_1,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P022,P07,4,pcp_und_fa_1,FULL_OUTSOURCING,1,Forwards the item question verbatim (assistant could not see the charts).
P022,P07,5,pcp_ana_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim (assistant requested the images).
P022,P07,6,pcp_ana_fa_1,NO_INTERACTION,0,No turns were logged for this item.
P022,P07,7,pcp_und_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim (assistant requested the charts).
P022,P07,8,pcp_eval_fa_11,NO_INTERACTION,0,No turns were logged for this item.
P025,P08,1,pcp_und_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P025,P08,2,pcp_ana_fa_1,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P025,P08,3,pcp_rem_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P025,P08,4,pcp_eval_fa_11,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P025,P08,5,pcp_und_fa_1,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P025,P08,6,pcp_ana_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P025,P08,7,pcp_eval_fa_10,FULL_OUTSOURCING,1,"Forwards the item question verbatim (submitted 'I don't know' afterwards, but no own reasoning appears in the exchange)."
P025,P08,8,pcp_rem_fa_1,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P027,P09,1,pcp_eval_fa_11,FULL_OUTSOURCING,1,Direct request ('Give me correct answer.') with no own candidate.
P027,P09,2,pcp_ana_fa_1,FULL_OUTSOURCING,2,Direct request repeated twice until the assistant produced the letter.
P027,P09,3,pcp_ana_fa_2,FULL_OUTSOURCING,1,Direct request ('Give me correct answer') with no own candidate.
P027,P09,4,pcp_und_fa_2,FULL_OUTSOURCING,1,Direct request ('give me correct answer') with no own candidate.
P027,P09,5,pcp_und_fa_1,FULL_OUTSOURCING,1,Direct request ('give me the correct answer') with no own candidate.
P027,P09,6,pcp_eval_fa_10,FULL_OUTSOURCING,1,Direct request ('give me the correct answer') with no own candidate.
P027,P09,7,pcp_rem_fa_2,FULL_OUTSOURCING,1,Direct request ('give me correct answer') with no own candidate.
P027,P09,8,pcp_rem_fa_1,FULL_OUTSOURCING,1,Direct request ('Give me correct answer') with no own candidate.
P032,P10,1,pcp_und_fa_2,FULL_OUTSOURCING,2,"Direct request ('Give me correct answer'), then 'So which answer?' to extract the option."
P032,P10,2,pcp_und_fa_1,FULL_OUTSOURCING,1,Direct request ('Show me correct answer').
P032,P10,3,pcp_ana_fa_1,FULL_OUTSOURCING,1,Close paraphrase of the item's question ('Which graph best reflects the correlation...') asking the assistant to pick the chart.
P032,P10,4,pcp_rem_fa_2,FULL_OUTSOURCING,1,Forwards the item question near-verbatim.
P032,P10,5,pcp_rem_fa_1,FULL_OUTSOURCING,1,Forwards the item question near-verbatim.
P032,P10,6,pcp_ana_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P032,P10,7,pcp_eval_fa_11,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P032,P10,8,pcp_eval_fa_10,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P038,P11,1,pcp_rem_fa_2,FULL_OUTSOURCING,1,Direct request ('Give me the right answer') with no own candidate.
P038,P11,2,pcp_und_fa_1,NO_INTERACTION,0,No turns were logged for this item.
P038,P11,3,pcp_eval_fa_11,NO_INTERACTION,0,No turns were logged for this item.
P038,P11,4,pcp_ana_fa_1,FULL_OUTSOURCING,1,Direct request ('Give me the right answer') with no own candidate.
P038,P11,5,pcp_und_fa_2,NO_INTERACTION,0,No turns were logged for this item.
P038,P11,6,pcp_ana_fa_2,NO_INTERACTION,0,No turns were logged for this item.
P038,P11,7,pcp_rem_fa_1,FULL_OUTSOURCING,1,Direct request ('Give me the right answer') with no own candidate.
P038,P11,8,pcp_eval_fa_10,NO_INTERACTION,0,No turns were logged for this item.
P041,P12,1,pcp_eval_fa_11,FULL_OUTSOURCING,1,'what are your thoughts ?' invites the assistant's own judgment of the item with no candidate or concept question.
P041,P12,2,pcp_rem_fa_1,FULL_OUTSOURCING,1,'what are your thoughts ?' delegates the item judgment to the assistant.
P041,P12,3,pcp_und_fa_2,FULL_OUTSOURCING,1,'what are your thoughts ?' delegates the item judgment to the assistant.
P041,P12,4,pcp_eval_fa_10,FULL_OUTSOURCING,1,Bare '?' prompts the assistant to solve the shared item; no content of the participant's own.
P041,P12,5,pcp_und_fa_1,FULL_OUTSOURCING,1,Bare '?' prompts the assistant to solve the shared item.
P041,P12,6,pcp_ana_fa_2,FULL_OUTSOURCING,2,Bare '?' followed by a verbatim forward of the item question.
P041,P12,7,pcp_ana_fa_1,FULL_OUTSOURCING,1,Bare '?' prompts the assistant to solve the shared item.
P041,P12,8,pcp_rem_fa_2,FULL_OUTSOURCING,1,"Contentless '/' nudge, consistent with the participant's established pattern of triggering the assistant to answer the shared item."
P042,P13,1,pcp_eval_fa_10,FULL_OUTSOURCING,2,"Reproduces the item question ('what is wrong with the chart?'), then pastes the options and demands a valid one."
P042,P13,2,pcp_rem_fa_1,FULL_OUTSOURCING,2,Reproduces the item question plus 'yes or no'; the follow-up 'why' seeks explanation only after taking the verdict.
P042,P13,3,pcp_und_fa_1,FULL_OUTSOURCING,1,Close paraphrase of the item question ('what is the difference between both charts?').
P042,P13,4,pcp_rem_fa_2,FULL_OUTSOURCING,1,Reproduces the item question near-verbatim.
P042,P13,5,pcp_ana_fa_1,FULL_OUTSOURCING,1,Near-verbatim reproduction of the item question.
P042,P13,6,pcp_eval_fa_11,FULL_OUTSOURCING,3,"Reproduces the item's ask ('name one problem of the chart'), then demands 'answer a b or c and tell me why'."
P042,P13,7,pcp_und_fa_2,FULL_OUTSOURCING,1,Pastes the item question together with the full option list for the assistant to choose.
P042,P13,8,pcp_ana_fa_2,FULL_OUTSOURCING,1,Near-verbatim reproduction of the item question.
P046,P14,1,pcp_und_fa_2,NO_INTERACTION,0,No turns were logged for this item.
P046,P14,2,pcp_rem_fa_1,NO_INTERACTION,0,No turns were logged for this item.
P046,P14,3,pcp_ana_fa_1,NO_INTERACTION,0,No turns were logged for this item.
P046,P14,4,pcp_eval_fa_11,NO_INTERACTION,0,No turns were logged for this item.
P046,P14,5,pcp_und_fa_1,NO_INTERACTION,0,No turns were logged for this item.
P046,P14,6,pcp_eval_fa_10,FULL_OUTSOURCING,3,"Asks the assistant to state the right answer ('explain me what the right answer is'), then to choose from the pasted options."
P046,P14,7,pcp_rem_fa_2,NO_INTERACTION,0,No turns were logged for this item.
P046,P14,8,pcp_ana_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim wrapped in 'can you tell me'.
P050,P15,1,pcp_ana_fa_1,FULL_OUTSOURCING,1,Direct request ('Please can you tell me the answer?').
P050,P15,2,pcp_eval_fa_10,FULL_OUTSOURCING,1,Direct request ('What is the answer?').
P050,P15,3,pcp_und_fa_1,FULL_OUTSOURCING,1,Direct request ('What is the answer?').
P050,P15,4,pcp_rem_fa_1,FULL_OUTSOURCING,1,Direct request ('What is the answer?').
P050,P15,5,pcp_ana_fa_2,FULL_OUTSOURCING,2,Direct request repeated twice until the assistant identified the scatterplot.
P050,P15,6,pcp_eval_fa_11,FULL_OUTSOURCING,1,Direct request ('What is the answer?').
P050,P15,7,pcp_und_fa_2,FULL_OUTSOURCING,1,Direct request ('What is the answer?').
P050,P15,8,pcp_rem_fa_2,FULL_OUTSOURCING,1,Direct request ('What's the answer?').
P052,P16,1,pcp_und_fa_2,FULL_OUTSOURCING,1,Direct request ('What is the correct answer').
P052,P16,2,pcp_ana_fa_1,FULL_OUTSOURCING,1,"Direct request ('Give the correct answer'); no decline-and-reason turn, though the submission deviated from the assistant's answer."
P052,P16,3,pcp_eval_fa_10,FULL_OUTSOURCING,1,Direct request ('Give the correct answer').
P052,P16,4,pcp_eval_fa_11,FULL_OUTSOURCING,1,Direct request ('Give the correct answer').
P052,P16,5,pcp_rem_fa_1,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P052,P16,6,pcp_ana_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P052,P16,7,pcp_und_fa_1,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P052,P16,8,pcp_rem_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P055,P17,1,pcp_rem_fa_1,FULL_OUTSOURCING,1,One-word demand for the answer ('answer').
P055,P17,2,pcp_und_fa_1,FULL_OUTSOURCING,1,One-word demand for the answer ('answer').
P055,P17,3,pcp_ana_fa_2,FULL_OUTSOURCING,1,One-word demand for the answer ('answer').
P055,P17,4,pcp_ana_fa_1,FULL_OUTSOURCING,1,One-word demand for the answer ('answer').
P055,P17,5,pcp_rem_fa_2,FULL_OUTSOURCING,2,"Demand for the answer; 'u sure?' checks the assistant's answer, not an own candidate."
P055,P17,6,pcp_eval_fa_11,FULL_OUTSOURCING,3,"Demand for the answer, then mines further options ('anything else?', 'what about colors?')."
P055,P17,7,pcp_eval_fa_10,FULL_OUTSOURCING,2,"Demand for the answer, then probes option B ('axis titles?') for assistant endorsement."
P055,P17,8,pcp_und_fa_2,FULL_OUTSOURCING,2,"Demand for the answer; the pushback 'but they look the same' contests the assistant's answer but ends in accepting its framing, not independent reasoning."
P057,P18,1,pcp_und_fa_1,NO_INTERACTION,0,No turns were logged for this item.
P057,P18,2,pcp_rem_fa_1,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P057,P18,3,pcp_eval_fa_10,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P057,P18,4,pcp_ana_fa_2,NO_INTERACTION,0,No turns were logged for this item.
P057,P18,5,pcp_und_fa_2,NO_INTERACTION,0,No turns were logged for this item.
P057,P18,6,pcp_ana_fa_1,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P057,P18,7,pcp_eval_fa_11,NO_INTERACTION,0,No turns were logged for this item.
P057,P18,8,pcp_rem_fa_2,NO_INTERACTION,0,No turns were logged for this item.
P059,P19,1,pcp_eval_fa_11,FULL_OUTSOURCING,1,Paraphrases the item's ask ('what's wrong with this chart?'); 'I don't know how to interpret it' frames the handover rather than posing a concept question.
P059,P19,2,pcp_und_fa_1,NO_INTERACTION,0,No turns were logged for this item.
P059,P19,3,pcp_ana_fa_1,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P059,P19,4,pcp_rem_fa_1,FULL_OUTSOURCING,2,"Forwards the item question verbatim; 'are you sure?' tests the assistant's answer, not an own candidate."
P059,P19,5,pcp_rem_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P059,P19,6,pcp_und_fa_2,NO_INTERACTION,0,No turns were logged for this item.
P059,P19,7,pcp_ana_fa_2,VERIFICATION_ONLY,1,"Reproduces the item question but appends an own tentative candidate ('Maybe C?'), making it a confirmation request for the participant's answer."
P059,P19,8,pcp_eval_fa_10,FULL_OUTSOURCING,1,Paraphrase-forward of the item's question ('Is there something wrong with this chart?') with no own candidate.
P062,P20,1,pcp_ana_fa_1,NO_INTERACTION,0,No turns were logged for this item.
P062,P20,2,pcp_rem_fa_1,NO_INTERACTION,0,No turns were logged for this item.
P062,P20,3,pcp_und_fa_2,NO_INTERACTION,0,No turns were logged for this item.
P062,P20,4,pcp_und_fa_1,NO_INTERACTION,0,No turns were logged for this item.
P062,P20,5,pcp_ana_fa_2,NO_INTERACTION,0,No turns were logged for this item.
P062,P20,6,pcp_rem_fa_2,NO_INTERACTION,0,No turns were logged for this item.
P062,P20,7,pcp_eval_fa_10,FULL_OUTSOURCING,3,"Direct request ('what is the correct answer?'), then pastes the options and asks the assistant to pick."
P062,P20,8,pcp_eval_fa_11,NO_INTERACTION,0,No turns were logged for this item.
P063,P21,1,pcp_eval_fa_10,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P063,P21,2,pcp_rem_fa_1,FULL_OUTSOURCING,1,Forwards the item question near-verbatim.
P063,P21,3,pcp_ana_fa_1,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P063,P21,4,pcp_ana_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P063,P21,5,pcp_und_fa_1,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P063,P21,6,pcp_rem_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P063,P21,7,pcp_und_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P063,P21,8,pcp_eval_fa_11,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P067,P22,1,pcp_ana_fa_2,FULL_OUTSOURCING,1,Direct request ('Give me the correct answer').
P067,P22,2,pcp_und_fa_2,FULL_OUTSOURCING,1,Direct request ('Help me with the correct answer').
P067,P22,3,pcp_und_fa_1,NO_INTERACTION,0,No turns were logged for this item.
P067,P22,4,pcp_rem_fa_2,FULL_OUTSOURCING,1,Direct request ('help me answer the question please').
P067,P22,5,pcp_rem_fa_1,NO_INTERACTION,0,No turns were logged for this item.
P067,P22,6,pcp_eval_fa_11,NO_INTERACTION,0,No turns were logged for this item.
P067,P22,7,pcp_ana_fa_1,FULL_OUTSOURCING,1,Direct request ('help answer the question').
P067,P22,8,pcp_eval_fa_10,NO_INTERACTION,0,No turns were logged for this item.
P068,P23,1,pcp_ana_fa_1,FULL_OUTSOURCING,1,Direct request ('what is the answer?').
P068,P23,2,pcp_rem_fa_2,FULL_OUTSOURCING,1,Direct request ('what is the answer?').
P068,P23,3,pcp_eval_fa_10,FULL_OUTSOURCING,2,"Direct request ('please answer the question'), then forwards the item question verbatim."
P068,P23,4,pcp_rem_fa_1,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P068,P23,5,pcp_ana_fa_2,FULL_OUTSOURCING,1,Direct request ('what is the answer?').
P068,P23,6,pcp_eval_fa_11,FULL_OUTSOURCING,2,"Forwards the item's ask verbatim, then requests 'name another problem'."
P068,P23,7,pcp_und_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P068,P23,8,pcp_und_fa_1,FULL_OUTSOURCING,2,"Forwards the item question verbatim; 'so is The carbohydrate(g) axis is flipped' echoes the assistant-derived answer, not a prior own candidate."
P073,P24,1,pcp_und_fa_2,FULL_OUTSOURCING,1,Direct request ('Give me a correct answer').
P073,P24,2,pcp_rem_fa_1,FULL_OUTSOURCING,1,Direct request ('give me a correct answer').
P073,P24,3,pcp_und_fa_1,FULL_OUTSOURCING,1,Direct request ('give me a correct answer').
P073,P24,4,pcp_ana_fa_2,FULL_OUTSOURCING,1,Direct request ('give me a correct answer').
P073,P24,5,pcp_ana_fa_1,FULL_OUTSOURCING,1,Direct request ('give me a correct answer').
P073,P24,6,pcp_eval_fa_11,FULL_OUTSOURCING,1,Direct request ('give me a correct answer').
P073,P24,7,pcp_rem_fa_2,FULL_OUTSOURCING,1,Direct request ('give me a correct answer').
P073,P24,8,pcp_eval_fa_10,FULL_OUTSOURCING,1,Direct request ('give me a correct answer').
P081,P25,1,pcp_und_fa_2,FULL_OUTSOURCING,1,Close paraphrase of the item question ('What is the difference between charts a and b?').
P081,P25,2,pcp_eval_fa_11,FULL_OUTSOURCING,1,Paraphrase of the item's ask ('what are the problems with this chart').
P081,P25,3,pcp_rem_fa_1,FULL_OUTSOURCING,1,Paraphrase-forward of the item question ('is this a parallel coordinates plot').
P081,P25,4,pcp_eval_fa_10,FULL_OUTSOURCING,4,"Paraphrases the item's ask ('what errors are made in this chart'), then has the assistant adjudicate each option in turn."
P081,P25,5,pcp_und_fa_1,NO_INTERACTION,0,No turns were logged for this item.
P081,P25,6,pcp_ana_fa_2,FULL_OUTSOURCING,1,Paraphrase of the item question ('which scatterplot is shown in the parallel coordinates plot').
P081,P25,7,pcp_rem_fa_2,NO_INTERACTION,0,No turns were logged for this item.
P081,P25,8,pcp_ana_fa_1,FULL_OUTSOURCING,1,Paraphrase of the item question ('which chart depicts the relation between home ownership rate and number of households').
P082,P26,1,pcp_rem_fa_2,NO_INTERACTION,0,No turns were logged for this item.
P082,P26,2,pcp_und_fa_2,NO_INTERACTION,0,No turns were logged for this item.
P082,P26,3,pcp_ana_fa_1,NO_INTERACTION,0,No turns were logged for this item.
P082,P26,4,pcp_rem_fa_1,FULL_OUTSOURCING,2,"'what type of chart is this' asks the assistant to classify the shown chart - an open-form paraphrase of the item's own question, whose answer is the item's answer."
P082,P26,5,pcp_und_fa_1,FULL_OUTSOURCING,1,Paraphrase of the item question ('whats the difference between these charts').
P082,P26,6,pcp_ana_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P082,P26,7,pcp_eval_fa_11,FULL_OUTSOURCING,1,Paraphrase of the item's ask ('are their any problems with this chart').
P082,P26,8,pcp_eval_fa_10,NO_INTERACTION,0,No turns were logged for this item.
P083,P27,1,pcp_ana_fa_1,FULL_OUTSOURCING,1,Direct request ('what is the answer').
P083,P27,2,pcp_und_fa_2,FULL_OUTSOURCING,1,Direct request ('answer please').
P083,P27,3,pcp_rem_fa_1,FULL_OUTSOURCING,1,Direct request ('give me the answer').
P083,P27,4,pcp_eval_fa_11,FULL_OUTSOURCING,4,"Direct request ('what is the answer'), escalating to pasting the options for a letter verdict."
P083,P27,5,pcp_eval_fa_10,NO_INTERACTION,0,No turns were logged for this item.
P083,P27,6,pcp_und_fa_1,FULL_OUTSOURCING,1,Direct request ('what is the answer').
P083,P27,7,pcp_rem_fa_2,FULL_OUTSOURCING,1,Paraphrase-forward of the item question ('is this an example of parallel coordinate').
P083,P27,8,pcp_ana_fa_2,FULL_OUTSOURCING,2,"Direct request ('What is the answer'), then forwards the item question verbatim."
P085,P28,1,pcp_eval_fa_11,FULL_OUTSOURCING,2,Truncated forward of the item's ask ('problem in this chart'); the later own hypothesis about axis titles comes only after the assistant's answer.
P085,P28,2,pcp_eval_fa_10,VERIFICATION_ONLY,1,States an own candidate within the request ('i think the colour legend is not properly labeled') and asks the assistant to check it.
P085,P28,3,pcp_rem_fa_2,FULL_OUTSOURCING,1,"Word-order-mangled reproduction of the item's own yes/no question, with no distinct own candidate."
P085,P28,4,pcp_ana_fa_2,FULL_OUTSOURCING,3,"Paraphrase-forward of the item question, then 'which one a,b,c,d?' for the letter; 'and why it is?' is post-hoc."
P085,P28,5,pcp_ana_fa_1,NO_INTERACTION,0,No turns were logged for this item.
P085,P28,6,pcp_und_fa_1,NO_INTERACTION,0,No turns were logged for this item.
P085,P28,7,pcp_rem_fa_1,FULL_OUTSOURCING,1,Reproduces the item question near-verbatim.
P085,P28,8,pcp_und_fa_2,NO_INTERACTION,0,No turns were logged for this item.
P086,P29,1,pcp_rem_fa_2,FULL_OUTSOURCING,1,Direct request ('give me the correct answer').
P086,P29,2,pcp_und_fa_1,FULL_OUTSOURCING,2,"Direct request, then 'what is the best answer'."
P086,P29,3,pcp_eval_fa_10,FULL_OUTSOURCING,2,"Direct request, then 'best answer please'."
P086,P29,4,pcp_ana_fa_2,FULL_OUTSOURCING,2,"Direct request, then pastes the full item with options for a letter verdict."
P086,P29,5,pcp_ana_fa_1,FULL_OUTSOURCING,1,Requests only the answer while refusing explanation ('i need just the correct answer no explanation').
P086,P29,6,pcp_eval_fa_11,FULL_OUTSOURCING,1,"Requests only the answer, no explanation."
P086,P29,7,pcp_rem_fa_1,FULL_OUTSOURCING,1,"Requests only the answer, no explanation."
P086,P29,8,pcp_und_fa_2,FULL_OUTSOURCING,1,"Requests only the answer, no explanation."
P087,P30,1,pcp_rem_fa_2,VERIFICATION_ONLY,1,Presents an own candidate ('Do you think the correct answer is A?') for confirmation.
P087,P30,2,pcp_und_fa_1,VERIFICATION_ONLY,1,"States an own candidate ('I think the correct answer is B, what do you think?')."
P087,P30,3,pcp_ana_fa_1,VERIFICATION_ONLY,1,Presents an own candidate ('Do you think the correct answer is C?') for confirmation.
P087,P30,4,pcp_ana_fa_2,FULL_OUTSOURCING,2,Direct request ('What is the correct answer?') with no prior candidate; 'So B' takes up the assistant's answer.
P087,P30,5,pcp_und_fa_2,VERIFICATION_ONLY,1,States an own candidate ('I think the correct answer is B').
P087,P30,6,pcp_rem_fa_1,VERIFICATION_ONLY,1,Presents an own candidate ('Do you think the correct answer is A?').
P087,P30,7,pcp_eval_fa_11,FULL_OUTSOURCING,3,"Opens with a direct answer request; the later 'So the correct answer is A' emerges from assistant-led option probing, not a prior own candidate."
P087,P30,8,pcp_eval_fa_10,FULL_OUTSOURCING,3,"Opens with a direct answer request, then has the assistant eliminate options ('Are the axis titles missing?', 'Is the color legend properly labeled?')."
P091,P31,1,pcp_und_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P091,P31,2,pcp_ana_fa_1,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P091,P31,3,pcp_eval_fa_10,FULL_OUTSOURCING,2,"Forwards the item question verbatim, then recites the options for the assistant to choose."
P091,P31,4,pcp_rem_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P091,P31,5,pcp_rem_fa_1,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P091,P31,6,pcp_ana_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P091,P31,7,pcp_und_fa_1,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P091,P31,8,pcp_eval_fa_11,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P092,P32,1,pcp_eval_fa_11,FULL_OUTSOURCING,2,"Paraphrase of the item's ask ('is there any problem with the chart'), then 'any other' for more."
P092,P32,2,pcp_ana_fa_1,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P092,P32,3,pcp_und_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P092,P32,4,pcp_rem_fa_2,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P092,P32,5,pcp_und_fa_1,FULL_OUTSOURCING,1,Forwards the item question verbatim.
P092,P32,6,pcp_rem_fa_1,FULL_OUTSOURCING,1,Forwards the item question verbatim.
