pid,plabel,item_id,bloom,position,code,n_turns,answer,key,correct,idk,adopt_delta_s,llm_answer,answer_form,mapping_difficulty,extract_confidence,excerpt,cat,llm_committed,llm_correct,adopted,prompt_chars,verbatim_paste,asked_reasoning,bare_answer_demand
P022,P07,pcp_ana_fa_2,Analyze,4,FULL_OUTSOURCING,1,C,B,0,False,10.683,,no_answer,,high,Please upload the parallel coordinates plot and the candidate scatterplot images.,ana,False,,,86,True,False,False
P022,P07,pcp_und_fa_2,Understand,6,FULL_OUTSOURCING,1,B,B,1,False,21.404,,no_answer,,high,I need to see charts (a) and (b) first.,und,False,,,82,True,False,False
P025,P08,pcp_und_fa_2,Understand,0,FULL_OUTSOURCING,1,B,B,1,False,63.107,B,descriptive,nontrivial,high,rearrange the middle and right axes (Poverty <-> Malaria 2013),und,True,1.0,1.0,82,True,False,False
P025,P08,pcp_ana_fa_1,Analyze,1,FULL_OUTSOURCING,1,D,D,1,False,4.57,D,clean_option,,high,The best choice is D.,ana,True,1.0,1.0,167,True,False,False
P025,P08,pcp_rem_fa_2,Remember,2,FULL_OUTSOURCING,1,A,A,1,False,8.66,A,descriptive,trivial,high,Yes. ...exactly a parallel coordinates plot.,rem,True,1.0,1.0,50,True,False,False
P025,P08,pcp_eval_fa_11,Evaluate,3,FULL_OUTSOURCING,1,C,A,0,False,56.455,,descriptive,unmappable,high,overplotting/clutter (matches no option),eval,False,,,33,True,False,False
P025,P08,pcp_und_fa_1,Understand,4,FULL_OUTSOURCING,1,B,B,1,False,17.552,B,descriptive,trivial,high,the carbohydrate axis is reversed/inverted,und,True,1.0,1.0,82,True,False,False
P025,P08,pcp_ana_fa_2,Analyze,5,FULL_OUTSOURCING,1,B,B,1,False,38.7,B,descriptive,nontrivial,high,second image from the left ... the 2nd plot,ana,True,1.0,1.0,86,True,False,False
P025,P08,pcp_eval_fa_10,Evaluate,6,FULL_OUTSOURCING,1,E,A,0,True,69.144,,descriptive,unmappable,high,severe overplotting / clutter (matches no option),eval,False,,,30,True,False,False
P025,P08,pcp_rem_fa_1,Remember,7,FULL_OUTSOURCING,1,A,A,1,False,2.679,A,descriptive,trivial,high,Yes. This is a parallel coordinates plot,rem,True,1.0,1.0,50,True,False,False
P027,P09,pcp_eval_fa_11,Evaluate,0,FULL_OUTSOURCING,1,B,A,0,False,119.969,,descriptive,unmappable,high,overplotting/clutter (matches no option),eval,False,,,23,False,False,False
P027,P09,pcp_ana_fa_1,Analyze,1,FULL_OUTSOURCING,2,D,D,1,False,8.441,D,clean_option,,high,T2: D,ana,True,1.0,1.0,44,False,False,False
P027,P09,pcp_ana_fa_2,Analyze,2,FULL_OUTSOURCING,1,B,B,1,False,21.226,B,descriptive,nontrivial,high,the 2nd scatterplot ... Second image from the left.,ana,True,1.0,1.0,22,False,False,False
P027,P09,pcp_und_fa_2,Understand,3,FULL_OUTSOURCING,1,B,B,1,False,45.223,B,descriptive,nontrivial,high,the last two axes are swapped (Poverty <-> Malaria 2013),und,True,1.0,1.0,22,False,False,False
P027,P09,pcp_und_fa_1,Understand,4,FULL_OUTSOURCING,1,B,B,1,False,48.491,B,descriptive,trivial,high,the carbohydrate (g) axis is reversed/inverted,und,True,1.0,1.0,26,False,False,False
P027,P09,pcp_eval_fa_10,Evaluate,5,FULL_OUTSOURCING,1,D,A,0,False,104.406,,descriptive,unmappable,high,too cluttered/overplotted (matches no option),eval,False,,,26,False,False,False
P027,P09,pcp_rem_fa_2,Remember,6,FULL_OUTSOURCING,1,A,A,1,False,135.188,A,descriptive,trivial,high,Yes. This is a parallel coordinates plot.,rem,True,1.0,1.0,22,False,False,False
P027,P09,pcp_rem_fa_1,Remember,7,FULL_OUTSOURCING,1,A,A,1,False,6.013,A,descriptive,trivial,high,Yes. This is a parallel coordinates plot.,rem,True,1.0,1.0,22,False,False,False
P032,P10,pcp_und_fa_2,Understand,0,FULL_OUTSOURCING,2,B,B,1,False,46.595,B,descriptive,nontrivial,med,T2: choose the answer that says axes arranged in a different order (T1 detail uniquely implies B),und,True,1.0,1.0,38,False,False,False
P032,P10,pcp_und_fa_1,Understand,1,FULL_OUTSOURCING,1,B,B,1,False,18.054,B,descriptive,trivial,high,chart (b) flips the carbohydrate scale,und,True,1.0,1.0,22,False,False,False
P032,P10,pcp_ana_fa_1,Analyze,2,FULL_OUTSOURCING,1,D,D,1,False,5.569,D,clean_option,,high,So the answer is D.,ana,True,1.0,1.0,91,False,False,False
P032,P10,pcp_rem_fa_2,Remember,3,FULL_OUTSOURCING,1,A,A,1,False,3.724,A,descriptive,trivial,high,Yes. ...defining structure of a parallel coordinates plot.,rem,True,1.0,1.0,48,False,False,False
P032,P10,pcp_rem_fa_1,Remember,4,FULL_OUTSOURCING,1,A,A,1,False,2.259,A,descriptive,trivial,high,Yes. ...this is a parallel coordinates plot.,rem,True,1.0,1.0,48,False,False,False
P032,P10,pcp_ana_fa_2,Analyze,5,FULL_OUTSOURCING,1,D,B,0,False,23.759,D,descriptive,nontrivial,high,The 4th scatterplot from the left ... the 4th image.,ana,True,0.0,1.0,86,True,False,False
P032,P10,pcp_eval_fa_11,Evaluate,6,FULL_OUTSOURCING,1,A,A,1,False,26.827,,descriptive,unmappable,high,overplotting/clutter (matches no option),eval,False,,,33,True,False,False
P032,P10,pcp_eval_fa_10,Evaluate,7,FULL_OUTSOURCING,1,C,A,0,False,24.866,,descriptive,unmappable,high,overplotting/clutter; generic title (matches no option),eval,False,,,30,True,False,False
P038,P11,pcp_rem_fa_2,Remember,0,FULL_OUTSOURCING,1,A,A,1,False,20.522,A,descriptive,trivial,high,Yes. This is a parallel coordinates plot.,rem,True,1.0,1.0,24,False,False,False
P038,P11,pcp_ana_fa_1,Analyze,3,FULL_OUTSOURCING,1,D,D,1,False,10.652,D,clean_option,,high,The right answer is D.,ana,True,1.0,1.0,24,False,False,False
P038,P11,pcp_rem_fa_1,Remember,6,FULL_OUTSOURCING,1,A,A,1,False,1.237,A,descriptive,trivial,high,Yes.,rem,True,1.0,1.0,24,False,False,False
P041,P12,pcp_eval_fa_11,Evaluate,0,FULL_OUTSOURCING,1,B,A,0,False,51.478,,descriptive,unmappable,high,overplotting/clutter + colors overlap (matches no option),eval,False,,,24,False,False,False
P041,P12,pcp_rem_fa_1,Remember,1,FULL_OUTSOURCING,1,A,A,1,False,14.01,A,descriptive,trivial,high,So the correct answer is: Yes.,rem,True,1.0,1.0,24,False,False,False
P041,P12,pcp_und_fa_2,Understand,2,FULL_OUTSOURCING,1,A,B,0,False,31.641,B,descriptive,nontrivial,high,the last two axes are swapped (Poverty <-> Malaria 2013),und,True,1.0,0.0,24,False,False,False
P041,P12,pcp_eval_fa_10,Evaluate,3,FULL_OUTSOURCING,1,C,A,0,False,12.806,,descriptive,unmappable,high,severely overplotted / spaghetti plot (matches no option),eval,False,,,1,False,False,False
P041,P12,pcp_und_fa_1,Understand,4,FULL_OUTSOURCING,1,B,B,1,False,54.411,B,descriptive,trivial,high,carbohydrate axis reversed/inverted,und,True,1.0,1.0,1,False,False,False
P041,P12,pcp_ana_fa_2,Analyze,5,FULL_OUTSOURCING,2,B,B,1,False,11.413,B,descriptive,nontrivial,high,the second scatterplot from the left (stated twice),ana,True,1.0,1.0,87,True,False,False
P041,P12,pcp_ana_fa_1,Analyze,6,FULL_OUTSOURCING,1,D,D,1,False,37.237,D,clean_option,,high,So the answer is D.,ana,True,1.0,1.0,1,False,False,False
P041,P12,pcp_rem_fa_2,Remember,7,FULL_OUTSOURCING,1,A,A,1,False,8.909,A,descriptive,trivial,high,Yes. This is a parallel coordinates plot.,rem,True,1.0,1.0,1,False,False,False
P042,P13,pcp_eval_fa_10,Evaluate,0,FULL_OUTSOURCING,2,D,A,0,False,11.657,D,clean_option,,high,The best choice is: nothing wrong with the chart.,eval,True,0.0,1.0,207,False,False,False
P042,P13,pcp_rem_fa_1,Remember,1,FULL_OUTSOURCING,2,A,A,1,False,18.579,A,descriptive,trivial,high,Yes.,rem,True,1.0,1.0,63,True,True,False
P042,P13,pcp_und_fa_1,Understand,2,FULL_OUTSOURCING,1,B,B,1,False,13.669,B,descriptive,trivial,high,chart (b) has the carbohydrate axis reversed,und,True,1.0,1.0,43,True,False,False
P042,P13,pcp_rem_fa_2,Remember,3,FULL_OUTSOURCING,1,A,A,1,False,2.244,A,descriptive,trivial,high,Yes. ...defining structure of a parallel coordinates plot.,rem,True,1.0,1.0,48,False,False,False
P042,P13,pcp_ana_fa_1,Analyze,4,FULL_OUTSOURCING,1,D,D,1,False,10.633,D,clean_option,,high,D.,ana,True,1.0,1.0,147,True,False,False
P042,P13,pcp_eval_fa_11,Evaluate,5,FULL_OUTSOURCING,3,A,A,1,False,9.381,,hedged_multiple,,med,"T2 'B - too cluttered' then T3 'I don't know what A, B, or C say' (letter retracted)",eval,False,,,153,False,True,False
P042,P13,pcp_und_fa_2,Understand,6,FULL_OUTSOURCING,1,C,B,0,False,7.793,C,clean_option,,high,c. the fever or malaria... (letter contradicts its own middle/right-swap reasoning),und,True,0.0,1.0,217,True,False,False
P042,P13,pcp_ana_fa_2,Analyze,7,FULL_OUTSOURCING,1,B,B,1,False,60.69,B,descriptive,nontrivial,high,the second scatterplot from the left ... So the answer is: the second scatterplot.,ana,True,1.0,1.0,77,True,False,False
P046,P14,pcp_eval_fa_10,Evaluate,5,FULL_OUTSOURCING,3,A,A,1,False,11.809,A,clean_option,,high,T3: The best option is: the color legend is not properly labeled,eval,True,1.0,1.0,224,False,True,False
P046,P14,pcp_ana_fa_2,Analyze,7,FULL_OUTSOURCING,1,B,B,1,False,143.486,B,descriptive,nontrivial,high,the second scatterplot from the left ... the 2nd image,ana,True,1.0,1.0,103,True,False,False
P050,P15,pcp_ana_fa_1,Analyze,0,FULL_OUTSOURCING,1,D,D,1,False,10.818,D,clean_option,,high,Answer: D,ana,True,1.0,1.0,34,False,False,False
P050,P15,pcp_eval_fa_10,Evaluate,1,FULL_OUTSOURCING,1,E,A,0,True,20.798,,descriptive,unmappable,high,severe overplotting (matches no option),eval,False,,,19,False,False,False
P050,P15,pcp_und_fa_1,Understand,2,FULL_OUTSOURCING,1,B,B,1,False,9.082,B,descriptive,trivial,high,carbohydrate axis reversed/inverted,und,True,1.0,1.0,19,False,False,False
P050,P15,pcp_rem_fa_1,Remember,3,FULL_OUTSOURCING,1,A,A,1,False,5.269,A,descriptive,trivial,high,Yes. This is a parallel coordinates plot,rem,True,1.0,1.0,19,False,False,False
P050,P15,pcp_ana_fa_2,Analyze,4,FULL_OUTSOURCING,2,B,B,1,False,19.821,B,descriptive,nontrivial,high,T2: the second image ... second scatterplot,ana,True,1.0,1.0,38,False,False,False
P050,P15,pcp_eval_fa_11,Evaluate,5,FULL_OUTSOURCING,1,B,A,0,False,10.011,,descriptive,unmappable,high,overplotting/clutter (matches no option),eval,False,,,19,False,False,False
P050,P15,pcp_und_fa_2,Understand,6,FULL_OUTSOURCING,1,B,B,1,False,15.079,B,descriptive,nontrivial,high,the middle and right axes are swapped (Poverty <-> Malaria 2013),und,True,1.0,1.0,19,False,False,False
P050,P15,pcp_rem_fa_2,Remember,7,FULL_OUTSOURCING,1,A,A,1,False,3.251,A,descriptive,trivial,high,Yes. This is a parallel coordinates plot.,rem,True,1.0,1.0,18,False,False,False
P052,P16,pcp_und_fa_2,Understand,0,FULL_OUTSOURCING,1,B,B,1,False,29.164,B,descriptive,nontrivial,high,the middle and right axes are swapped,und,True,1.0,1.0,26,False,False,False
P052,P16,pcp_ana_fa_1,Analyze,1,FULL_OUTSOURCING,1,C,D,0,False,74.599,D,clean_option,,high,The correct answer is D.,ana,True,1.0,0.0,23,False,False,False
P052,P16,pcp_eval_fa_10,Evaluate,2,FULL_OUTSOURCING,1,B,A,0,False,57.248,,descriptive,unmappable,high,normalization unclear + overplotting (matches no option),eval,False,,,23,False,False,False
P052,P16,pcp_eval_fa_11,Evaluate,3,FULL_OUTSOURCING,1,A,A,1,False,43.566,,descriptive,unmappable,high,overplotting/clutter (matches no option),eval,False,,,23,False,False,False
P052,P16,pcp_rem_fa_1,Remember,4,FULL_OUTSOURCING,1,A,A,1,False,3.253,A,descriptive,trivial,high,Yes. ...a parallel coordinates plot.,rem,True,1.0,1.0,50,True,False,False
P052,P16,pcp_ana_fa_2,Analyze,5,FULL_OUTSOURCING,1,B,B,1,False,35.321,B,descriptive,nontrivial,high,the middle scatterplot ... the second (middle) image,ana,True,1.0,1.0,86,True,False,False
P052,P16,pcp_und_fa_1,Understand,6,FULL_OUTSOURCING,1,B,B,1,False,39.5,B,descriptive,trivial,high,chart (b) reverses the carbohydrate axis,und,True,1.0,1.0,82,True,False,False
P052,P16,pcp_rem_fa_2,Remember,7,FULL_OUTSOURCING,1,A,A,1,False,4.814,A,descriptive,trivial,high,Yes. ...characteristic of a parallel coordinates plot.,rem,True,1.0,1.0,50,True,False,False
P055,P17,pcp_rem_fa_1,Remember,0,FULL_OUTSOURCING,1,A,A,1,False,7.273,A,descriptive,trivial,high,Yes. This is a parallel coordinates plot,rem,True,1.0,1.0,6,False,False,False
P055,P17,pcp_und_fa_1,Understand,1,FULL_OUTSOURCING,1,B,B,1,False,31.849,B,descriptive,trivial,high,carbohydrate axis is reversed/inverted,und,True,1.0,1.0,6,False,False,False
P055,P17,pcp_ana_fa_2,Analyze,2,FULL_OUTSOURCING,1,B,B,1,False,36.654,B,descriptive,nontrivial,high,the second image ... the 2nd option,ana,True,1.0,1.0,6,False,False,False
P055,P17,pcp_ana_fa_1,Analyze,3,FULL_OUTSOURCING,1,D,D,1,False,23.364,D,clean_option,,high,The best choice is D.,ana,True,1.0,1.0,6,False,False,False
P055,P17,pcp_rem_fa_2,Remember,4,FULL_OUTSOURCING,2,A,A,1,False,6.668,A,descriptive,trivial,high,Yes. It is a parallel coordinates plot. (reaffirmed after 'u sure?'),rem,True,1.0,1.0,13,False,False,False
P055,P17,pcp_eval_fa_11,Evaluate,5,FULL_OUTSOURCING,3,A,A,1,False,14.884,,descriptive,unmappable,high,"clutter, then normalized axes, then colors blend - none matches a listed option",eval,False,,,38,False,False,False
P055,P17,pcp_eval_fa_10,Evaluate,6,FULL_OUTSOURCING,2,B,A,0,False,20.574,,descriptive,unmappable,med,"T2 'axis titles are also a problem (inconsistent)' - but titles exist, so not option B (missing); no option matches",eval,False,,,18,False,False,False
P055,P17,pcp_und_fa_2,Understand,7,FULL_OUTSOURCING,2,C,B,0,False,66.084,B,descriptive,nontrivial,high,the last two axes are swapped; T2 reaffirms axis order changed,und,True,1.0,0.0,28,False,False,False
P057,P18,pcp_rem_fa_1,Remember,1,FULL_OUTSOURCING,1,A,A,1,False,7.095,A,descriptive,trivial,high,Yes. ...defining structure of a parallel coordinates plot.,rem,True,1.0,1.0,50,True,False,False
P057,P18,pcp_eval_fa_10,Evaluate,2,FULL_OUTSOURCING,1,C,A,0,False,30.378,,descriptive,unmappable,high,overplotting / spaghetti chart (matches no option),eval,False,,,30,True,False,False
P057,P18,pcp_ana_fa_1,Analyze,5,FULL_OUTSOURCING,1,D,D,1,False,18.25,D,clean_option,,high,The best choice is D.,ana,True,1.0,1.0,167,True,False,False
P059,P19,pcp_eval_fa_11,Evaluate,0,FULL_OUTSOURCING,1,A,A,1,False,33.87,,descriptive,unmappable,high,cluttered / overplotting (matches no option),eval,False,,,62,False,False,False
P059,P19,pcp_ana_fa_1,Analyze,2,FULL_OUTSOURCING,1,D,D,1,False,5.123,D,clean_option,,high,The best choice is D.,ana,True,1.0,1.0,167,True,False,False
P059,P19,pcp_rem_fa_1,Remember,3,FULL_OUTSOURCING,2,A,A,1,False,2.559,A,descriptive,trivial,high,"Yes (reaffirmed: 'Yes, I'm sure.')",rem,True,1.0,1.0,63,True,False,False
P059,P19,pcp_rem_fa_2,Remember,4,FULL_OUTSOURCING,1,A,A,1,False,2.051,A,descriptive,trivial,high,Yes. ...defining structure of a parallel coordinates plot.,rem,True,1.0,1.0,50,True,False,False
P059,P19,pcp_ana_fa_2,Analyze,6,VERIFICATION_ONLY,1,C,B,0,False,5.074,C,clean_option,,high,Yes - C (the third scatterplot) matches ... So C is correct. (confirms user candidate),ana,True,0.0,1.0,95,True,False,False
P059,P19,pcp_eval_fa_10,Evaluate,7,FULL_OUTSOURCING,1,D,A,0,False,9.491,,descriptive,unmappable,high,overplotting; too cluttered to be readable (matches no option),eval,False,,,41,False,False,False
P062,P20,pcp_eval_fa_10,Evaluate,6,FULL_OUTSOURCING,3,E,A,0,True,21.126,D,clean_option,,high,T3: D. There is nothing wrong with this chart,eval,True,0.0,0.0,220,False,False,False
P063,P21,pcp_eval_fa_10,Evaluate,0,FULL_OUTSOURCING,1,E,A,0,True,50.345,,descriptive,unmappable,high,severely overplotted (matches no option),eval,False,,,29,True,False,False
P063,P21,pcp_rem_fa_1,Remember,1,FULL_OUTSOURCING,1,A,A,1,False,5.821,A,descriptive,trivial,high,Yes. This is a parallel coordinates plot,rem,True,1.0,1.0,50,True,False,False
P063,P21,pcp_ana_fa_1,Analyze,2,FULL_OUTSOURCING,1,D,D,1,False,22.119,D,clean_option,,high,Answer: D,ana,True,1.0,1.0,167,True,False,False
P063,P21,pcp_ana_fa_2,Analyze,3,FULL_OUTSOURCING,1,B,B,1,False,23.249,B,descriptive,nontrivial,high,Answer: the second scatterplot from the left.,ana,True,1.0,1.0,86,True,False,False
P063,P21,pcp_und_fa_1,Understand,4,FULL_OUTSOURCING,1,B,B,1,False,22.72,B,descriptive,trivial,high,the carbohydrate axis is flipped/inverted,und,True,1.0,1.0,82,True,False,False
P063,P21,pcp_rem_fa_2,Remember,5,FULL_OUTSOURCING,1,A,A,1,False,10.625,A,descriptive,trivial,high,Yes. ...defining structure of a parallel coordinates plot.,rem,True,1.0,1.0,50,True,False,False
P063,P21,pcp_und_fa_2,Understand,6,FULL_OUTSOURCING,1,B,B,1,False,434.164,B,descriptive,nontrivial,high,the last two axes are swapped (Poverty <-> Malaria 2013),und,True,1.0,1.0,82,True,False,False
P063,P21,pcp_eval_fa_11,Evaluate,7,FULL_OUTSOURCING,1,C,A,0,False,24.306,,descriptive,unmappable,high,overplotting (matches no option),eval,False,,,33,True,False,False
P067,P22,pcp_ana_fa_2,Analyze,0,FULL_OUTSOURCING,1,B,B,1,False,31.608,B,descriptive,nontrivial,high,the second scatterplot from the left ... the 2nd image,ana,True,1.0,1.0,26,False,False,False
P067,P22,pcp_und_fa_2,Understand,1,FULL_OUTSOURCING,1,C,B,0,False,12.926,B,descriptive,nontrivial,high,the last two axes are swapped,und,True,1.0,0.0,31,False,False,False
P067,P22,pcp_rem_fa_2,Remember,3,FULL_OUTSOURCING,1,A,A,1,False,6.743,A,descriptive,trivial,high,Yes. This is a parallel coordinates plot.,rem,True,1.0,1.0,34,False,False,False
P067,P22,pcp_ana_fa_1,Analyze,6,FULL_OUTSOURCING,1,D,D,1,False,5.196,D,clean_option,,high,Answer: D,ana,True,1.0,1.0,24,False,False,False
P068,P23,pcp_ana_fa_1,Analyze,0,FULL_OUTSOURCING,1,D,D,1,False,11.271,D,clean_option,,high,The best choice is D.,ana,True,1.0,1.0,19,False,False,False
P068,P23,pcp_rem_fa_2,Remember,1,FULL_OUTSOURCING,1,A,A,1,False,4.275,A,descriptive,trivial,high,Yes. This is a parallel coordinates plot.,rem,True,1.0,1.0,19,False,False,False
